rank,instruction,frequency,avg_time,avg_energy
0,backward,1740,0.023207902908325195,25.396500000730157
0,backward,1710,0.022325992584228516,14.592775285243988
0,backward,1665,0.021602213382720947,22.723663730546832
0,backward,1635,0.022378861904144287,23.19307928159833
0,backward,1620,0.021808505058288574,0.18576866388320923
0,backward,1575,0.022675514221191406,2.374796101823449
0,backward,1560,0.022348344326019287,20.763700677081943
0,backward,1515,0.02213376760482788,21.962138682603836
0,backward,1470,0.02223026752471924,22.075001552700996
0,backward,1395,0.022272169589996338,15.97698418237269
0,backward,1380,0.022274672985076904,0.47592055425047874
0,backward,1350,0.022413969039916992,14.579168299213052
0,backward,1335,0.02281397581100464,3.5750692933797836
0,backward,1305,0.022411465644836426,20.497499998658895
0,backward,1260,0.023036956787109375,22.21931491047144
0,backward,1215,0.023274123668670654,26.276193756610155
0,backward,1155,0.023457586765289307,1.9221669789403677
0,backward,1125,0.022590339183807373,20.913881884887815
0,backward,1065,0.023263096809387207,26.334067199379206
0,backward,1020,0.02288419008255005,19.446567153558135
0,backward,975,0.02507561445236206,26.265611864626408
0,backward,930,0.02371525764465332,16.453153716400266
0,backward,885,0.022980153560638428,22.936045670881867
0,backward,810,0.024587154388427734,16.800013199448586
0,backward,765,0.02297121286392212,20.332478310912848
0,backward,720,0.02386617660522461,24.18156117759645
0,backward,675,0.02357274293899536,12.861775228753686
0,backward,660,0.022478759288787842,3.7609938718378544
0,backward,630,0.022387683391571045,15.761539725586772
0,backward,615,0.021886825561523438,0.2917293384671211
0,backward,585,0.022812247276306152,17.96025574579835
0,backward,540,0.023113787174224854,0.5170538481324911
0,backward,525,0.02352142333984375,13.659734653308988
0,backward,495,0.022957801818847656,6.227096203714609
0,backward,480,0.02460092306137085,0.7810400426387787
0,backward,450,0.022775709629058838,5.12683011777699
0,backward,435,0.023658573627471924,0.01594594120979309
0,backward,405,0.022639572620391846,26.729206264019012
0,backward,390,0.02321678400039673,2.0084089413285255
0,backward,300,0.021275699138641357,17.227657271549106
0,backward,270,0.022074759006500244,4.158279901370406
0,backward,225,0.022155463695526123,23.099352478981018
0,forward,1740,0.024078667163848877,22.09323524311185
0,forward,1725,0.023664891719818115,5.85950000025332
0,forward,1710,0.02334904670715332,13.329325914382935
0,forward,1680,0.025411009788513184,4.724249999970198
0,forward,1665,0.023590445518493652,22.45924999937415
0,forward,1650,0.024539530277252197,2.615540934726596
0,forward,1635,0.02499556541442871,13.57384848035872
0,forward,1560,0.027767717838287354,22.69899999909103
0,forward,1545,0.026324570178985596,2.4807785861194134
0,forward,1530,0.026800155639648438,3.7254639100283384
0,forward,1515,0.026303648948669434,22.756000002846122
0,forward,1500,0.024688243865966797,0.5484726503491402
0,forward,1485,0.024173974990844727,4.636250000447035
0,forward,1470,0.02660459280014038,22.696750001981854
0,forward,1425,0.026604831218719482,7.344750000163913
0,forward,1410,0.026088476181030273,1.8352085407823324
0,forward,1395,0.02670365571975708,23.168999997898936
0,forward,1365,0.027225613594055176,4.640993691980839
0,forward,1350,0.026639938354492188,7.037777539342642
0,forward,1335,0.025924980640411377,0.025092637166380882
0,forward,1305,0.025773942470550537,13.742739595472813
0,forward,1290,0.024469077587127686,6.112668182700872
0,forward,1275,0.026333868503570557,3.929887507110834
0,forward,1260,0.02480006217956543,15.130249999463558
0,forward,1230,0.025946617126464844,3.768082406371832
0,forward,1215,0.02567446231842041,22.291250001639128
0,forward,1200,0.027418553829193115,6.145250983536243
0,forward,1170,0.0243527889251709,3.2677418664097786
0,forward,1155,0.023822784423828125,1.8437879290431738
0,forward,1140,0.024157345294952393,0.7362271957099438
0,forward,1125,0.024375498294830322,2.894148489460349
0,forward,1110,0.024270951747894287,8.053600009530783
0,forward,1080,0.02432948350906372,4.849249999970198
0,forward,1065,0.023980557918548584,18.029992680996656
0,forward,1035,0.024715840816497803,4.527499999850988
0,forward,1020,0.02684730291366577,21.334281565621495
0,forward,990,0.024707317352294922,4.306749999523163
0,forward,975,0.025040626525878906,22.233250001445413
0,forward,945,0.027026772499084473,4.668749999254942
0,forward,930,0.024156153202056885,19.47644631564617
0,forward,915,0.02473604679107666,1.3675138130784035
0,forward,885,0.02416938543319702,21.733075378462672
0,forward,870,0.024978935718536377,5.35700000077486
0,forward,825,0.02442842721939087,4.781999999657273
0,forward,810,0.02521836757659912,20.125323036685586
0,forward,780,0.025338709354400635,4.394500000402331
0,forward,765,0.0241091251373291,20.2775735296309
0,forward,735,0.024167180061340332,4.555250000208616
0,forward,720,0.025723576545715332,18.664157938212156
0,forward,690,0.025525689125061035,2.712822023779154
0,forward,675,0.024144530296325684,13.411486733704805
0,forward,660,0.02480393648147583,1.0445100124925375
0,forward,630,0.024541199207305908,7.970188623294234
0,forward,615,0.024174094200134277,0.6847762409597635
